lon,lat,log_ppt_2025_standardized
-108.12916666734252,46.1125000001525,1.2483414
-106.62916666740252,48.7458333333805,-0.35404545
-105.02916666746653,48.6458333333845,-0.29323313
-113.66250000045451,45.8125000001645,0.8324656
-110.82916666723452,47.2791666667725,-0.02070323
-104.8625000008065,47.045833333448506,1.3181223
-105.36250000078653,47.8791666667485,-0.47238252
-112.2291666671785,47.912500000080506,0.6101037
-110.09583333393051,48.0791666667405,-0.9659502
-112.76250000049052,45.0791666668605,0.98968285
-109.09583333397052,46.2125000001485,0.5536818
-113.26250000047052,45.1458333335245,0.6876357
-104.29583333416252,48.1791666667365,0.49328408
-107.76250000069052,46.7125000001285,0.88370794
-104.79583333414251,48.2125000000685,0.40239367
-109.59583333395052,47.5458333334285,-0.44432727
-104.041666667506,45.4125000001805,1.3688737
-111.5625000005385,48.3125000000645,0.31436545
-113.82916666711452,46.079166666820505,0.99518454
-111.39583333387851,48.6458333333845,0.26722887
-109.52916666728652,45.8125000001645,0.6401333
-105.76250000077052,47.045833333448506,1.6305215
-113.9625000004425,48.9791666667045,0.42651218
-107.8958333340185,47.1791666667765,0.0331799
-105.79583333410253,45.0791666668605,1.439545
-115.22916666705852,47.379166666768505,0.6780136
-111.9958333338545,47.3125000001045,0.5351241
-111.82916666719451,45.5791666668405,1.1208019
-109.49583333395452,46.3458333334765,0.5057144
-109.76250000061052,46.6458333334645,0.61162466
-105.5291666674465,48.7458333333805,0.45761812
-108.22916666733852,45.2791666668525,1.46717
-108.36250000066651,45.74583333350051,0.97584265
-105.46250000078253,46.1125000001525,1.6659048
-114.66250000041452,47.2791666667725,1.0558794
-113.39583333379852,48.2125000000685,0.59773284
-113.02916666714653,47.1458333334445,0.7713627
-109.26250000063052,46.8125000001245,0.593095
-106.02916666742652,45.5125000001765,1.6205245
-111.39583333387851,45.5125000001765,1.3799641
-113.06250000047852,47.8791666667485,0.5182799
-114.02916666710652,46.612500000132506,1.033799
-107.26250000071052,45.6791666668365,1.6446694
-114.02916666710652,48.4125000000605,0.5785712
-105.0958333341305,47.812500000084505,0.49460483
-107.82916666735451,45.2458333335205,1.2834752
-106.46250000074252,46.4125000001405,1.6632512
-107.69583333402652,48.679166666716505,-1.3921456
-110.79583333390252,45.8125000001645,1.0062307
-108.56250000065852,48.6125000000525,-1.7342918
-104.36250000082651,47.5125000000965,0.7252085
-108.9625000006425,47.9458333334125,-0.9644624
-112.62916666716252,48.8125000000445,0.42384598
-104.92916666747053,45.8791666668285,1.735453
-112.6625000004945,45.9791666668245,0.8425869
-112.72916666715852,47.3125000001045,0.76809055
-108.29583333400252,48.8125000000445,-1.3894484
-106.56250000073852,46.945833333452505,1.4609052
-109.52916666728652,46.0458333334885,0.4106304
-104.52916666748652,45.4125000001805,1.6162293
-110.66250000057452,48.1125000000725,-1.0632995
-105.36250000078653,46.6458333334645,1.5023534
-108.26250000067051,48.1791666667365,-0.7468831
-110.42916666725051,46.0458333334885,0.9810901
-110.2625000005905,45.7791666668325,0.7469197
-113.42916666713052,45.9125000001605,0.76931787
-106.32916666741453,47.1125000001125,1.2070516
-108.9625000006425,47.1791666667765,-0.16976508
-112.36250000050651,44.679166666876505,1.333728
-105.16250000079452,45.5791666668405,1.8989447
-105.06250000079852,47.4458333334325,1.054838
-115.62916666704253,48.0125000000765,0.70615554
-108.82916666731452,45.8125000001645,0.7524017
-110.2625000005905,48.3791666667285,-0.44762197
-110.96250000056251,46.7791666667925,0.12062193
-115.59583333371052,48.8458333333765,0.7235582
-104.72916666747852,48.679166666716505,-0.13818347
-106.82916666739452,48.6125000000525,-0.330453
-109.56250000061851,45.4125000001805,0.8217142
-112.52916666716652,46.9125000001205,0.76430637
-105.62916666744252,47.3458333334365,1.1475878
-111.96250000052252,48.4458333333925,0.59435356
-113.59583333379052,48.9125000000405,0.7046634
-107.19583333404653,46.179166666816506,1.689814
-112.99583333381452,45.2791666668525,1.2107751
-115.06250000039851,47.6458333334245,0.5142302
-107.0291666673865,45.1458333335245,1.0043049
-113.99583333377451,48.1458333334045,0.85300034
-114.5958333337505,48.5458333333885,0.8870928
-111.62916666720253,44.6458333335445,1.2819456
-106.96250000072251,47.6458333334245,0.07596093
-112.82916666715452,46.4125000001405,0.8073013
-108.39583333399852,46.1125000001525,1.0468122
-104.12916666750252,47.7458333334205,0.3917061
-114.3958333337585,46.179166666816506,0.70316166
-109.4291666672905,48.7125000000485,-0.33086962
-107.8958333340185,48.7458333333805,-1.3118922
-110.52916666724651,48.779166666712506,-0.32360414
-114.19583333376652,47.5125000000965,1.0217918
